date,type,amount,description,merchantName,latitude,longitude
2025-09-08,debit,34.56,Donut Shop,Krispy Kreme,37.7749,-122.4194
2025-09-07,debit,178.90,Shoe Store,Foot Locker,37.7833,-122.4167
2025-09-06,debit,45.67,Juice Bar,Jamba Juice,37.7858,-122.4064
2025-09-05,debit,234.56,Jewelry Store,Kay Jewelers,37.7695,-122.4156
2025-09-04,debit,12.50,Smoothie,Smoothie King,37.7749,-122.4194
2025-09-03,debit,156.78,Office Supplies,Staples,37.7705,-122.4025
2025-09-02,debit,67.89,Game Store,GameStop,37.7833,-122.4167
2025-09-01,debit,89.43,Gas Station,76,37.7695,-122.4156
2025-08-31,debit,23.45,Bagel Shop,Noah's NY Bagels,37.7749,-122.4194
2025-08-30,credit,800.00,Investment Return,Dividend Payment,,,
2025-08-29,debit,145.67,Grocery Store,Sprouts,37.7858,-122.4064
2025-08-28,debit,298.00,Urgent Care,One Medical,37.7833,-122.4167
2025-08-27,credit,2500.00,Monthly Salary,Acme Corp,,,
2025-08-26,debit,54.32,Breakfast Cafe,IHOP,37.7705,-122.4025
2025-08-25,debit,76.54,Hardware Store,Ace Hardware,37.7695,-122.4156
2025-08-24,debit,234.56,Toy Store,Toys R Us,37.7749,-122.4194
2025-08-23,debit,12.00,Laundromat,Wash Club,37.7858,-122.4064
2025-08-22,debit,89.43,Craft Store,Michaels,37.7833,-122.4167
2025-08-21,debit,456.78,Plumber Service,Roto-Rooter,,,
2025-08-20,debit,34.56,Taco Place,Taco Bell,37.7749,-122.4194
2025-08-19,debit,178.90,Eyewear,LensCrafters,37.7705,-122.4025
2025-08-18,credit,250.00,Cash Back Reward,Credit Card Rewards,,,
2025-08-17,debit,45.67,Sandwich Shop,Jersey Mike's,37.7695,-122.4156
2025-08-16,debit,267.89,Florist,1-800-Flowers,37.7858,-122.4064
2025-08-15,debit,12.50,Frozen Yogurt,Yogurtland,37.7749,-122.4194
2025-08-14,debit,156.78,Pet Grooming,PetSmart,37.7833,-122.4167
2025-08-13,credit,2500.00,Monthly Salary,Acme Corp,,,
2025-08-12,debit,67.89,Music Store,Guitar Center,37.7705,-122.4025
2025-08-11,debit,89.43,Gas Station,Arco,37.7695,-122.4156
2025-08-10,debit,234.56,Appliance Store,Sears,37.7858,-122.4064
2025-08-09,debit,23.45,Bubble Tea,Boba Guys,37.7749,-122.4194
2025-08-08,debit,145.67,Farm Market,Farmer's Market,37.7609,-122.4247
2025-08-07,debit,54.32,Sushi Restaurant,Sushi Bar,37.7833,-122.4167
2025-08-06,debit,298.00,Massage Therapy,Massage Envy,37.7705,-122.4025
2025-08-05,debit,76.54,Candy Store,See's Candies,37.7695,-122.4156
2025-08-04,credit,400.00,Gift Money,Birthday Gift,,,
2025-08-03,debit,234.56,Camping Gear,REI,37.7858,-122.4064
2025-08-02,debit,12.00,Arcade,Dave & Buster's,37.7833,-122.4167
2025-08-01,debit,89.43,Print Shop,FedEx Office,37.7749,-122.4194
2025-07-31,credit,2500.00,Monthly Salary,Acme Corp,,,
2025-07-30,debit,45.67,Ramen Shop,Mensho Tokyo,37.7705,-122.4025
2025-07-29,debit,267.89,Tire Shop,Discount Tire,37.7695,-122.4156
2025-07-28,debit,12.50,Cupcake Shop,Sprinkles,37.7858,-122.4064
2025-07-27,debit,156.78,Travel Agency,Expedia Office,37.7833,-122.4167
2025-07-26,debit,67.89,Thrift Store,Goodwill,37.7749,-122.4194
2025-07-25,debit,89.43,Gas Station,Shell,37.7705,-122.4025
